old_value,new_value,slug_id
Administrative & Public Law,Administrative & Public Law,3f83e7b7-91e5-4079-93c9-e81bacb8c8f8
Administrative and public law,Administrative & Public Law,3f83e7b7-91e5-4079-93c9-e81bacb8c8f8
INQUESTS & INQUIRIES,Administrative & Public Law,3f83e7b7-91e5-4079-93c9-e81bacb8c8f8
JUDICIAL REVIEW,Administrative & Public Law,3f83e7b7-91e5-4079-93c9-e81bacb8c8f8
Judicial review,Administrative & Public Law,3f83e7b7-91e5-4079-93c9-e81bacb8c8f8
Judicial review - legal aid,Administrative & Public Law,3f83e7b7-91e5-4079-93c9-e81bacb8c8f8
CRIMINAL INJURIES AND CRIMINAL DAMAGE COMPENSATION,Accident & Injury,b78c8b1d-5cdd-4511-befb-fd3026c29e59
Clinical negligence,Accident & Injury,b78c8b1d-5cdd-4511-befb-fd3026c29e59
MENTAL HEALTH,Accident & Injury,b78c8b1d-5cdd-4511-befb-fd3026c29e59
Mental health,Accident & Injury,b78c8b1d-5cdd-4511-befb-fd3026c29e59
Accident and injury,Accident & Injury,b78c8b1d-5cdd-4511-befb-fd3026c29e59
Mental health - legal aid,Accident & Injury,b78c8b1d-5cdd-4511-befb-fd3026c29e59
Personal injury,Accident & Injury,b78c8b1d-5cdd-4511-befb-fd3026c29e59
Personal injury - RTA,Accident & Injury,b78c8b1d-5cdd-4511-befb-fd3026c29e59
CHARITIES LAW,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
COMMERCIAL LITIGATION,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
Commercial litigation,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
Commercial property,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
Company and commercial,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
Construction,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
Contract,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
Corporate finance,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
Mergers and acquisitions,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
INTELLECTUAL PROPERTY,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
Information Technology,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
Intellectual property,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
LICENSING,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
Licensing gaming and betting,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
"Media, IT and intellectual property",Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
"Media, entertainment and sport",Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
Tax - Company and commercial,Corporate & Commercial,3ed8cc6d-2c6e-4f80-aed9-f17df71f3904
CONSUMER LAW,Consumer & Civil Rights,7ce66950-e882-4ffd-b079-af9ad4e693cd 
Consumer,Consumer & Civil Rights,7ce66950-e882-4ffd-b079-af9ad4e693cd 
Consumer - financial services,Consumer & Civil Rights,7ce66950-e882-4ffd-b079-af9ad4e693cd
Consumer - goods and services,Consumer & Civil Rights,7ce66950-e882-4ffd-b079-af9ad4e693cd
Consumer and civil rights,Consumer & Civil Rights,7ce66950-e882-4ffd-b079-af9ad4e693cd
Defamation,Consumer & Civil Rights,7ce66950-e882-4ffd-b079-af9ad4e693cd
EQUALITY & DISCRIMINATION,Consumer & Civil Rights,7ce66950-e882-4ffd-b079-af9ad4e693cd
Human rights,Consumer & Civil Rights,7ce66950-e882-4ffd-b079-af9ad4e693cd
LIBEL & SLANDER,Consumer & Civil Rights,7ce66950-e882-4ffd-b079-af9ad4e693cd
Travel and tourism,Consumer & Civil Rights,7ce66950-e882-4ffd-b079-af9ad4e693cd
Advocacy,Criminal Justice,71e31842-efe9-423a-b073-1d374f8fcd75
CRIMINAL LAW,Criminal Justice,71e31842-efe9-423a-b073-1d374f8fcd75
Crime - domestic violence,Criminal Justice,71e31842-efe9-423a-b073-1d374f8fcd75
Crime - fraud,Criminal Justice,71e31842-efe9-423a-b073-1d374f8fcd75
Crime - general,Criminal Justice,71e31842-efe9-423a-b073-1d374f8fcd75
Crime - juvenile,Criminal Justice,71e31842-efe9-423a-b073-1d374f8fcd75
Crime - legal aid,Criminal Justice,71e31842-efe9-423a-b073-1d374f8fcd75
Crime - motoring,Criminal Justice,71e31842-efe9-423a-b073-1d374f8fcd75
Crime - sex,Criminal Justice,71e31842-efe9-423a-b073-1d374f8fcd75
Crime,Criminal Justice,71e31842-efe9-423a-b073-1d374f8fcd75
BANKRUPTCY & INSOLVENCY,Finance & Insolvency,d9165232-bb74-403a-b218-a6e6f4088b87
DEBT & MONEY PROBLEMS,Finance & Insolvency,d9165232-bb74-403a-b218-a6e6f4088b87
Debt and bankruptcy - personal,Finance & Insolvency,d9165232-bb74-403a-b218-a6e6f4088b87
Debt recovery,Finance & Insolvency,d9165232-bb74-403a-b218-a6e6f4088b87
Financial services,Finance & Insolvency,d9165232-bb74-403a-b218-a6e6f4088b87
INSURANCE,Finance & Insolvency,d9165232-bb74-403a-b218-a6e6f4088b87
Insolvency and restructuring - business,Finance & Insolvency,d9165232-bb74-403a-b218-a6e6f4088b87
Insurance,Finance & Insolvency,d9165232-bb74-403a-b218-a6e6f4088b87
Money and debt,Finance & Insolvency,d9165232-bb74-403a-b218-a6e6f4088b87
Private client - disputed trusts,Finance & Insolvency,d9165232-bb74-403a-b218-a6e6f4088b87
Private client - trusts,Finance & Insolvency,d9165232-bb74-403a-b218-a6e6f4088b87
"TRUSTS, TAX AND FINANCIAL PLANNING",Finance & Insolvency,d9165232-bb74-403a-b218-a6e6f4088b87
Tax - personal,Finance & Insolvency,d9165232-bb74-403a-b218-a6e6f4088b87
ALTERNATIVE DISPUTE RESOLUTION,Dispute Resolution,4ec27519-c3bb-4721-b069-4ee607849a89
Dispute resolution,Dispute Resolution,4ec27519-c3bb-4721-b069-4ee607849a89
Dispute resolution - civil mediation,Dispute Resolution,4ec27519-c3bb-4721-b069-4ee607849a89
Dispute resolution - commercial mediation,Dispute Resolution,4ec27519-c3bb-4721-b069-4ee607849a89
ENFORCEMENT OF JUDGEMENTS,Dispute Resolution,4ec27519-c3bb-4721-b069-4ee607849a89
Litigation - general,Dispute Resolution,4ec27519-c3bb-4721-b069-4ee607849a89
Litigation - small claims,Dispute Resolution,4ec27519-c3bb-4721-b069-4ee607849a89
Litigation - tickets and fines,Dispute Resolution,4ec27519-c3bb-4721-b069-4ee607849a89
PROFESSIONAL NEGLIGENCE,Dispute Resolution,4ec27519-c3bb-4721-b069-4ee607849a89
Professional negligence,Dispute Resolution,4ec27519-c3bb-4721-b069-4ee607849a89
Children,Children,9d4ed226-700a-451a-b1fa-7e35021e0e2c
Community care - legal aid,Children,9d4ed226-700a-451a-b1fa-7e35021e0e2c
EDUCATION,Children,9d4ed226-700a-451a-b1fa-7e35021e0e2c
Education,Children,9d4ed226-700a-451a-b1fa-7e35021e0e2c
FAMILY LAW - CHILDREN,Children,9d4ed226-700a-451a-b1fa-7e35021e0e2c
EMPLOYMENT LAW & TRIBUNALS,Employment,993f22b3-4413-454d-929e-c75c5b51012a
Employment,Employment,993f22b3-4413-454d-929e-c75c5b51012a
ENVIRONMENTAL LAW,"Energy, Environment & Infrastructure",482e6ed2-3192-48b7-ac10-83fa2a423f7a
Energy and natural resources,"Energy, Environment & Infrastructure",482e6ed2-3192-48b7-ac10-83fa2a423f7a
"Energy, utilities and transport","Energy, Environment & Infrastructure",482e6ed2-3192-48b7-ac10-83fa2a423f7a
Environment,"Energy, Environment & Infrastructure",482e6ed2-3192-48b7-ac10-83fa2a423f7a
PLANNING,"Energy, Environment & Infrastructure",482e6ed2-3192-48b7-ac10-83fa2a423f7a
Planning,"Energy, Environment & Infrastructure",482e6ed2-3192-48b7-ac10-83fa2a423f7a
Benefits and allowances,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
DOMESTIC VIOLENCE,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Family - mediation,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
FAMILY LAW - GENERAL,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Family - divorce and separation,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Family - general,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Family - legal aid,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Family - marriage and civil partnerships,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Family and relationships,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Family public law - legal aid,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
LPA - Health and Welfare,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
LPA - Property and Affairs,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Lasting power of attorney,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Private client - disputed probate,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Private client - disputed wills,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Private client - international,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Private client - Probate,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Private client - Wills,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Social welfare health benefits,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
WELFARE RIGHTS,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
"WILLS, PROBATES & INTESTACY",Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
Wills,Family,cde3795a-3d2c-43d1-bbf7-ef1d5c6bb924
CONVEYANCING - COMMERCIAL,Property & Neighbours,828f95eb-00eb-4e43-9ee0-3b0dd12dad6e
CONVEYANCING - OVERSEAS AND TIMESHARES,Property & Neighbours,828f95eb-00eb-4e43-9ee0-3b0dd12dad6e
CONVEYANCING - RESIDENTIAL,Property & Neighbours,828f95eb-00eb-4e43-9ee0-3b0dd12dad6e
Conveyancing - residential,Property & Neighbours,828f95eb-00eb-4e43-9ee0-3b0dd12dad6e
HOUSING,Property & Neighbours,828f95eb-00eb-4e43-9ee0-3b0dd12dad6e
"Houses, property and neighbours",Property & Neighbours,828f95eb-00eb-4e43-9ee0-3b0dd12dad6e
Houses,Property & Neighbours,828f95eb-00eb-4e43-9ee0-3b0dd12dad6e
property and neighbours,Property & Neighbours,828f95eb-00eb-4e43-9ee0-3b0dd12dad6e
LAND & PROPERTY DISPUTES,Property & Neighbours,828f95eb-00eb-4e43-9ee0-3b0dd12dad6e
Landlord and tenant - commercial,Property & Neighbours,828f95eb-00eb-4e43-9ee0-3b0dd12dad6e
Landlord and tenant - residential,Property & Neighbours,828f95eb-00eb-4e43-9ee0-3b0dd12dad6e
Neighbour disputes,Property & Neighbours,828f95eb-00eb-4e43-9ee0-3b0dd12dad6e
Immigration,Immigration – General,5dcaa19e-999a-4a34-8e96-4d1c7cf8dbbe
IMMIGRATION & ASYLUM,Immigration – General,5dcaa19e-999a-4a34-8e96-4d1c7cf8dbbe
Immigration - general,Immigration – General,5dcaa19e-999a-4a34-8e96-4d1c7cf8dbbe
Immigration - asylum,Immigration – Asylum,f19e0023-efb3-4925-a41e-b8be6006c099
Immigration - nationality and citizenship,Immigration – Nationality & Citizenship,4248ca9b-ad76-400b-a061-c198adda7407
Level 1 (EUSS) Immigration,Immigration – Level 1,8ddf9062-a2b9-4451-902f-4d2e04bba593
Level 1 Immigration,Immigration – Level 1,8ddf9062-a2b9-4451-902f-4d2e04bba593
Level 2 Immigration,Immigration – Level 2,86327691-d61f-46cd-9306-91ee49e0c6ba
Level 3 Immigration,Immigration – Level 3,a5b08bae-aedc-442b-920b-6cf4cd9f1da1
Level 3 JRCM Immigration,Immigration – Level 3,a5b08bae-aedc-442b-920b-6cf4cd9f1da1
Level 1 Asylum and Protection,Asylum – Level 1,c3e9426d-6e40-4539-a091-46bed920ea52
Level 2 Asylum and Protection,Asylum – Level 2,8fbe6f7f-4c1d-4007-9995-54df37528a8c
Level 3 Asylum and Protection,Asylum – Level 3,976c9cfb-39a6-4dfc-80bb-155f87d4d525
Level 3 JRCM Asylum and Protection,Asylum – Level 3,976c9cfb-39a6-4dfc-80bb-155f87d4d525
AGRICULTURE AND FARMING,Specialist Areas,6c37a957-98c8-4387-a803-a45c5b2d1a51
Agriculture,Specialist Areas,6c37a957-98c8-4387-a803-a45c5b2d1a51
Aviation,Specialist Areas,6c37a957-98c8-4387-a803-a45c5b2d1a51
Charities,Specialist Areas,6c37a957-98c8-4387-a803-a45c5b2d1a51
Charities law,Specialist Areas,6c37a957-98c8-4387-a803-a45c5b2d1a51
Cross-border,Specialist Areas,6c37a957-98c8-4387-a803-a45c5b2d1a51
European & International Law,Specialist Areas,6c37a957-98c8-4387-a803-a45c5b2d1a51
Military,Specialist Areas,6c37a957-98c8-4387-a803-a45c5b2d1a51
Pensions,Specialist Areas,6c37a957-98c8-4387-a803-a45c5b2d1a51
